%eval_id interface log__t_efold_soil log__t_efold_karst log__t_efold_deep f_exfiltration_soil f_exfiltration_karst PDD_melt_factor log__fdd_threshold snow_insulation_k recession_b_soil recession_b_karst et_scale       neg_kge        
137      I1         2.471193562    3.568702518    4.373791143    0.4085227492   0.6360603293   7.15887715     2.391205003    0.1000505528   5.876417853    4.899239702    1.763464086    1.000466389    
138      I1         2.581864559    2.94971948     4.549024377    0.2729217598   0.3509214385   2.171727156    1.780800284    0.1182956126   5.455639016    1.669249849    1.912919441    1.31648047     
139      I1         2.250696324    2.540429602    4.313651242    0.768180211    0.1952555708   6.710055755    0.1868876457   0.131653252    4.187414912    4.280204582    1.868174671    0.9626785706   
140      I1         1.93714383     3.549620411    4.204704216    0.8888690782   0.279182846    3.991173488    1.457601475    0.0799039971   4.886238014    4.347449133    1.240454832    0.5736671563   
141      I1         1.944751552    4.329415751    4.691908797    0.7262102806   0.1505513559   9.442576294    1.221526973    0.08156963308  4.801398561    5.056425715    1.191760297    0.8166599666   
142      I1         2.648251375    3.696095569    3.830982122    0.6010773471   0.4387943063   4.166339747    0.2760762866   0.144143226    5.123533749    4.412985523    1.753441852    0.9803191788   
143      I1         2.159552999    4.137371732    4.171686007    0.7351553244   0.06335144982  0.5155318816   2.111441234    0.1214438644   5.954536917    3.864651856    1.765078434    0.9522017452   
144      I1         1.044349805    2.963948278    4.541078206    0.04404286758  0.9546232434   3.302655049    2.069716827    0.03224627519  2.468843597    3.283301353    1.926848281    0.6211899174   
145      I1         1.615453797    3.46101426     4.097722728    0.6478459703   0.633732568    8.538878684    0.861623661    0.08857988384  1.843611386    3.830757355    1.996103167    0.7168991275   
146      I1         1.45797065     4.051475994    4.247393474    0.3476104215   0.5694610568   8.799554718    2.975139923    0.0405659012   4.869935016    5.162277612    1.604854098    0.6957060578   
147      I1         2.015604476    4.340006431    4.13313467     0.4439054183   0.3787398946   3.215896412    1.561350535    0.01927393289  5.683319751    1.573137777    1.540311677    0.7398336985   
148      I1         2.238629173    4.097849565    4.479037366    0.7246198575   0.685109752    3.251303546    1.632950029    0.1283767536   5.228118699    1.787935066    1.343126492    0.759282558    
149      I1         1.687080142    2.607015022    3.82420574     0.7994510876   0.191096213    3.177402617    2.359403291    0.07753047142  5.634424206    3.777282412    1.612470965    0.6838004525   
150      I1         1.173719663    2.898175949    4.343583492    0.3832702037   0.537096675    4.124835472    1.207174493    0.06416595714  1.636350588    1.850191557    0.9106187796   0.462501277    
151      I1         1.548020555    3.409211214    4.949651502    0.307045893    0.1081480773   9.36699869     0.6145947086   0.1335532432   5.421046855    4.911838548    1.905855647    1.404563114    
152      I1         1.054015108    3.5294187      3.635914016    0.2421199327   0.4242836668   2.271706462    0.9528779359   0.08062017272  4.709566936    2.506709563    1.217108055    0.5023059708   
153      I1         2.322287052    3.984981332    4.953433392    0.08187029442  0.7468992355   3.372111183    2.145187741    0.09548019567  3.173959579    2.167263712    1.772524797    1.492272182    
154      I1         2.328908169    3.990657858    4.56279257     0.3908718751   0.4484366104   2.770534601    1.717770877    0.1479835051   5.183143805    4.11143887     1.944155724    1.218371126    
