%eval_id interface log__t_efold_soil log__t_efold_karst f_exfiltration_soil PDD_melt_factor log__H0_pdm_soil log__fdd_threshold snow_insulation_k recession_b_soil recession_b_karst baseflow_Q     neg_kge        
70       I1         1.61770235     3.5294187      0.9440529674   3.987217094    2.162010487    2.418369112    0.09109090936  1.736715447    2.553157077    0.03696750872  0.6331380924   
71       I1         1.38476364     2.599698232    0.08736951318  8.573507468    2.803990828    1.581287851    0.0752496734   2.636034172    1.883528452    0.3363039104   1.070912965    
72       I1         1.996228928    4.291688321    0.2512428279   6.485592167    3.072333524    2.139053682    0.003394754834 1.945902362    2.627050271    0.3992369326   1.040086442    
73       I1         1.566175135    4.409835728    0.9795937024   6.360435239    2.277838007    0.7488088268   0.08465261809  1.96611595     2.160869321    0.05822038767  0.6234543312   
74       I1         1.569678216    2.528528489    0.5948640231   1.697965596    2.613664428    1.954016678    0.05341632766  1.675135339    2.676919419    0.4695431172   1.136639218    
75       I1         1.624184373    3.137700111    0.6295473542   9.262183006    1.024440164    1.825624117    0.08255454558  2.776303189    3.757234984    0.3519457518   1.638037718    
76       I1         1.428718011    3.866116323    0.9180832957   5.596082035    2.118460741    2.122820228    0.05528032943  2.677712024    2.531654771    0.3134120818   1.004768478    
77       I1         1.746500615    2.50588423     0.8542644272   1.619183891    1.676479829    2.324995802    0.008074676689 2.843669545    2.713110461    0.4104960057   1.270594998    
78       I1         1.219434217    3.851414134    0.415143026    6.769619037    2.500565311    2.191489839    0.01787790468  3.553054538    3.283092742    0.2113465286   0.8486609795   
79       I1         1.886805977    3.356414946    0.8208800235   8.963357097    2.522986541    1.334627821    0.1493936339   2.022777782    3.208991506    0.2998922057   0.8061643161   
80       I1         2.679905971    4.202669299    0.9286045323   9.217650397    2.944944003    0.6312536895   0.04052699267  2.926668627    3.251216496    0.3089116202   0.6791565011   
81       I1         2.292116285    3.671081187    0.7061470519   1.167673099    1.284197725    1.352429296    0.03547913378  2.631057701    3.190943273    0.05385737752  1.476141669    
82       I1         2.541418893    4.35731709     0.9640046122   6.414013601    1.693852907    0.5089844551   0.1261236385   3.312112862    3.671777219    0.4761942336   1.327225615    
83       I1         1.40748976     4.212617102    0.148233208    6.301441424    1.956814551    0.6608468757   0.1003988223   2.072091987    3.247634801    0.4659200018   1.270856942    
84       I1         1.221286098    4.061261418    0.3676463919   0.1386105809   1.105205127    1.911851559    0.07093832522  3.896018735    1.708499339    0.4737432819   1.650657341    
85       I1         1.916061424    3.430215775    0.7712621563   1.21687323     1.065689614    0.6798772637   0.1049649774   3.809157224    2.699631213    0.123684038    1.473991981    
86       I1         1.785592975    3.15712189     0.1361219754   8.850027941    2.59115451     1.465130537    0.04626192783  2.267285865    3.306422862    0.3623905559   1.000914071    
87       I1         2.0490471      3.589662688    0.5030314117   7.818359784    1.845566438    0.0900984373   0.1254326409   3.872664795    3.931343252    0.1093651103   0.7952428048   
88       I1         1.523985933    4.126800681    0.8684441726   2.973687367    1.047151721    0.9842361992   0.07676183645  1.919699664    2.463722084    0.2095349324   1.478719959    
89       I1         1.105703563    3.705198187    0.8413093938   1.252806333    3.445103885    1.220164794    0.09590888954  2.696103292    2.483767186    0.3193550883   1.060220736    
90       I1         2.690996676    3.398219087    0.9751080515   5.056203602    2.954540297    2.452882764    0.07553646231  2.852832246    1.839640319    0.4211043621   0.8549667285   
91       I1         1.197608997    4.027521548    0.03416342229  9.105357257    3.429298578    1.282237018    0.07727847399  3.099396139    3.418231578    0.1386891939   0.8990706856   
92       I1         1.781726666    3.214191618    0.01987104104  1.81257532     3.290292393    0.2597685281   0.107259387    1.655328901    3.45218765     0.4791919599   1.254129875    
93       I1         1.300299416    4.263533686    0.2846092456   5.630395924    2.171681009    0.7142410113   0.0399658779   3.167509214    2.511548273    0.0789084007   0.6790222367   
94       I1         2.34120002     3.878690569    0.9848929533   7.071226522    1.777746471    0.3071230386   0.1122863934   3.703180992    3.662734639    0.3298097179   1.082929361    
95       I1         2.536356129    3.141666179    0.7211783123   4.944730647    3.395829612    1.53415626     0.1487569962   2.552800766    2.194818668    0.03348642157  0.3018628241   
96       I1         1.36095806     3.28918967     0.7229155004   7.373662739    2.628419032    1.498324586    0.08245133542  1.774803476    2.993008284    0.3309698787   0.980413638    
