%eval_id interface log__t_efold_soil log__t_efold_karst log__t_efold_deep f_exfiltration_soil f_exfiltration_karst PDD_melt_factor log__fdd_threshold snow_insulation_k recession_b_karst et_scale       neg_kge        
109      I1         2.698319731    3.478475825    4.087229769    0.4439054183   0.622309483    5.385674145    1.900042494    0.0551313923   1.775632708    1.775981833    1.180930463    
110      I1         1.130485142    2.992132212    4.609254842    0.9358103204   0.603556501    9.006293536    1.179332422    0.1395387753   2.253084653    1.414509681    0.5627940897   
111      I1         1.892182611    4.487912498    4.028535478    0.03599679946  0.5429176497   2.025216672    0.03178298601  0.004826404837 4.04861745     0.7442503688   0.6852402886   
112      I1         1.731569625    3.825331428    4.683484523    0.01761344909  0.537096675    1.231381987    1.401817223    0.02394938466  5.856589744    1.251875541    0.8548079878   
113      I1         1.930764125    2.824876514    4.949651502    0.07396129374  0.6121861275   6.352420219    2.632297919    0.0547689613   3.674391119    0.7997339331   0.6560161962   
114      I1         1.988003539    2.79992798     4.128173892    0.06021600091  0.08285317218  8.584118857    1.561350535    0.1148664458   5.689881938    0.9087647007   0.911093115    
115      I1         1.831380639    2.636536642    3.836470672    0.2689075142   0.07942275114  8.62880349     2.880324012    0.05136966188  2.269743142    1.620714863    0.9122345176   
116      I1         2.322287052    3.888847421    4.941455263    0.768180211    0.3355639597   7.465637508    1.844111533    0.1458428686   5.721585606    1.822142796    1.500918851    
117      I1         2.653548078    3.182520664    3.751223135    0.4984778558   0.3787398946   9.121403494    0.6349166313   0.1450855514   5.145747417    1.915581721    1.29533824     
118      I1         1.75919981     4.334131983    4.955519155    0.333323562    0.1597277525   6.827758737    1.625273246    0.1256917855   5.592213624    1.742416246    1.321615103    
119      I1         2.648251375    3.448328167    3.613410887    0.4094759667   0.827400762    5.774861325    1.332293671    0.1070734229   1.515695318    1.478896731    1.272011843    
120      I1         2.082954783    3.240139305    4.278421151    0.7772854328   0.8833437898   1.149210547    0.5705699155   0.1134185895   1.759292053    0.5825075354   0.7898377784   
121      I1         2.50468192     4.382441872    4.230772191    0.3820957175   0.6746964876   4.999514334    2.45649262     0.1340964609   2.659571241    1.117143634    0.8404772921   
122      I1         1.485629004    2.937303238    4.712640556    0.282446083    0.3997498947   9.035347113    0.7292408204   0.1246984181   5.746398175    1.889040954    0.9878058676   
123      I1         1.66579508     3.594813514    3.568370574    0.3579996258   0.4617170534   6.043796498    0.2988271394   0.08268209967  5.34319045     1.465208451    0.7237327855   
124      I1         2.390483718    4.416630332    3.960204839    0.5852573008   0.6156617733   2.073431759    0.02520256267  0.0189179471   4.172562944    0.9139225524   0.4571941099   
125      I1         2.365250111    4.375989962    4.459031247    0.3205776368   0.9546232434   3.812652926    0.8844878752   0.09811672409  5.812190226    0.8762878791   0.5794401901   
126      I1         1.877159204    2.517951387    4.324802023    0.4929807404   0.9325752491   3.215896412    1.768746244    0.05334558274  2.834203618    1.288217285    0.5946777066   
127      I1         1.309835618    2.737313426    4.519375785    0.2729217598   0.3617422335   6.766951214    0.5066924989   0.012938783    4.306512478    0.8858081831   0.301961697    
