%eval_id interface log__t_efold_shallow log__t_efold_soil log__t_efold_karst f_exfiltration_shallow f_exfiltration_soil PDD_melt_factor baseflow_Q     neg_kge        
193      I1         0.551983061    1.063528064    2.693563229    0.6160442773   0.02603853883  6.001678038    0.1953344194   0.2930699351   
194      I1         1.518732135    1.767639995    4.042251232    0.4149177055   0.7373991272   5.567548951    0.2498217762   0.3016880739   
195      I1         1.815934321    2.668874854    2.972977533    0.9664733799   0.6270359666   2.073431759    0.09779617414  0.3326184461   
196      I1         1.301021493    2.35817213     4.125732872    0.1060554789   0.4242836668   8.799554718    0.0468435007   0.4721240686   
197      I1         0.866175135    2.653075503    2.737443737    0.179527658    0.2644768829   2.271706462    0.1151288035   0.2546108527   
198      I1         1.550696324    1.072841677    3.314757769    0.6520493137   0.1117894441   4.715888998    0.1457601475   0.1251334608   
199      I1         1.212023774    1.213851171    3.721320857    0.4528106755   0.01337837752  6.710055755    0.252247277    0.3660125791   
200      I1         0.3485504418   2.180520308    2.761519739    0.2482968935   0.8537564426   1.276621057    0.2333969627   0.1857650621   
201      I1         0.4175703839   2.600075591    3.349998568    0.7522225039   0.2156810159   5.275197541    0.2122740425   0.3471314808   
202      I1         1.031569625    2.282828503    3.306796818    0.3136359659   0.15576903     8.538878684    0.1475561403   0.2198328806   
203      I1         0.7482488826   2.623360368    3.253518959    0.4191608878   0.07719894133  1.010521473    0.180389414    0.1620323357   
204      I1         0.9080263691   1.702042258    4.489577456    0.3334357705   0.9170078746   8.435700196    0.07192227618  0.5867031596   
205      I1         0.3949104709   1.303784423    3.64216882     0.1861942359   0.10346091     1.544169539    0.2408380679   0.4138312122   
206      I1         1.200518864    1.425525521    2.726943377    0.4727462276   0.5982216018   2.089410644    0.2216612014   0.1211004355   
207      I1         1.701964074    2.339796042    3.563084631    0.04404286758  0.2052308283   8.703049179    0.2576545374   0.7575962083   
208      I1         0.3902345162   2.555003389    4.116854075    0.5475402506   0.05124040972  6.634035164    0.09829655613  0.7510569843   
209      I1         0.4304851418   1.010688332    3.128993032    0.6022610977   0.4360470655   0.8712048423   0.1649026708   0.432922168    
210      I1         0.6881199015   1.972364014    3.373360849    0.05397155562  0.2877460165   9.199591692    0.01868876457  0.3760169209   
211      I1         0.5014862514   1.046458867    3.296963637    0.3820957175   0.6156617733   2.837997409    0.1401817223   0.4405132851   
212      I1         1.280854117    1.105283673    3.593232741    0.3637232882   0.509737054    0.5511667692   0.07292408204  0.4566517646   
213      I1         1.507471669    1.029610094    3.075562603    0.9315443773   0.8928641198   9.583711601    0.0999927641   0.457629417    
214      I1         1.498235502    2.112643846    4.357918419    0.6558531331   0.603556501    3.876418288    0.154556948    0.1268909569   
215      I1         0.4737196634   2.422904768    3.54214926     0.6112363957   0.2340491312   5.436145523    0.03273412944  1.364375575    
