%eval_id interface log__t_efold_shallow log__t_efold_soil f_exfiltration_shallow PDD_melt_factor log__H0_pdm_shallow log__H0_pdm_soil f_tile_shallow log__tau_tile  neg_kge        
77       I1         1.931563387    2.61158016     0.5696627217   1.070356368    2.026400103    2.704581079    0.3623206264   0.7496117721   1.589695232    
78       I1         1.024984263    1.772829532    0.8386562516   9.217650397    3.104595831    2.026853472    0.3553941512   0.05924358238  2.001181843    
79       I1         0.8789505393   2.103964652    0.1690601992   5.673879639    1.185849929    2.347511496    0.7591549674   0.9350830879   2.000304282    
80       I1         1.764753117    1.754827795    0.5079141114   4.385849245    2.940634513    2.226356705    0.6354475262   0.9392677294   1.467161961    
81       I1         0.9059262998   1.950323918    0.7685437061   5.530253552    3.050593053    2.969509951    0.4353072299   0.5207580646   2.011021734    
82       I1         1.740831827    2.499003633    0.9486400733   3.653321701    1.418313228    2.877430693    0.08817885968  0.3043064599   2.125245224    
83       I1         0.3351591749   1.705854979    0.4791978633   3.330466053    2.205922223    1.009685799    0.751726272    1.024496961    1.953069133    
84       I1         0.6677877611   2.436423644    0.7784345942   0.3626207292   2.689011606    2.248603822    0.6544183971   0.4039067691   2.22788295     
85       I1         0.4240566145   1.605384842    0.5821217126   5.407307661    1.507124563    3.196857252    0.3799250517   0.04164376929  2.307813565    
86       I1         1.962053355    2.653075503    0.1518104971   6.922597836    2.329722501    1.502376425    0.852646154    0.06112825527  1.505961642    
87       I1         1.182398971    1.661443372    0.06935178189  9.402470267    2.558247824    2.807266208    0.04396764025  0.9449607006   1.583002515    
88       I1         0.7957480231   1.173806576    0.241758991    1.287616446    3.419538922    1.795783724    0.4570532154   1.135944184    1.772753096    
89       I1         0.5702487049   1.675837711    0.9640046122   8.178379648    2.642199533    2.738250213    0.3439802247   0.7755442187   2.334604533    
90       I1         1.162721522    1.475532227    0.4982970698   2.030509392    3.126281054    2.165628535    0.02576082315  0.3924642168   1.797498744    
91       I1         1.040563043    1.81166574     0.518568485    4.944730647    1.163049099    1.644935024    0.8015694007   0.9602852415   2.087527453    
92       I1         0.600299416    2.171886984    0.7479797478   8.669905264    2.118460741    3.291601411    0.8430462114   0.6001391857   2.211150599    
93       I1         0.6401521459   2.480325566    0.8066091071   4.125893078    2.834014717    1.887447651    0.3685515466   0.5106885048   2.195820538    
94       I1         1.645442561    1.386281804    0.9848929533   0.3794033731   1.60310236     2.65000888     0.7005043404   0.5581043726   2.072672121    
95       I1         1.107474017    1.563813263    0.8812576073   3.167342921    1.723235656    2.306868066    0.7536671348   1.005830845    2.009377404    
96       I1         1.670202853    2.50296565     0.7293746783   5.43170614     3.085206026    1.526044741    0.478153723    0.2905460483   1.546110194    
97       I1         0.4304851418   2.668874854    0.7513061837   7.737792291    1.284197725    2.789664983    0.9344764664   0.06527182886  2.516361083    
98       I1         1.126024947    2.564005466    0.959576483    8.695301592    1.358549377    2.168480847    0.01824309839  0.1159035256   2.229973742    
99       I1         0.6098356177   2.455724537    0.200390285    0.9118954856   2.451256275    2.433045789    0.03866641231  0.4648521995   1.45467846     
100      I1         1.690483718    1.522818988    0.4907157296   9.262183006    2.722218755    1.242407627    0.4075444177   0.5482937493   1.592009148    
101      I1         1.266159008    1.535255594    0.3424440375   7.720914576    2.974863686    1.127873253    0.1349602501   0.6539848985   1.762883031    
102      I1         1.578140663    1.783104062    0.5206531373   8.476879288    2.774119057    2.669205999    0.1878807088   0.04833624333  1.580858862    
103      I1         0.4737196634   1.740200609    0.9117041212   6.886137169    2.59115451     3.441305614    0.6187177823   0.236187466    2.402087697    
104      I1         1.382954783    1.029610094    0.07309836296  2.973687367    1.221372547    1.805474831    0.4536451544   0.03687373296  2.202112264    
105      I1         0.8352697815   2.215010462    0.6295473542   3.947583228    2.468669037    2.937496502    0.9785153132   0.8377508725   1.972143172    
106      I1         0.9621420747   2.538197415    0.4264992985   3.615506423    1.58042406     2.423415954    0.770209977    0.2396413355   2.138828234    
107      I1         1.225710618    1.963526746    0.5488706548   9.994476062    2.522986541    3.160166449    0.9429068399   0.4453050999   1.889712388    
108      I1         0.4976089969   1.987294004    0.8431180264   0.7461396      1.977510326    2.593209632    0.8244118615   0.657742423    2.293299316    
