Date,Precipitation [mm/day],Discharge [m^3/s],Mean Temperature [C],Minimum Temperature [C],Maximum Temperature [C],Photoperiod [hr],Evapotranspiration [mm/day]
1998.05.07,8.342172412,33.98016,17.385396034395,9.33386134629,25.4369307225,14.398860108612514,5.2593323149
1998.05.08,16.3327755173,41.05936,13.396683178335,9.08069307497,17.7126732817,14.440117062257784,3.68134026122
1998.05.09,2.57021556367,42.4752,13.578366312630001,9.38584157736,17.7708910479,14.48087241729908,2.85020898886
1998.05.10,0.0785240578548,43.89104,15.94569304437,9.74693071724,22.1444553715,14.521108140108081,3.07303626834
1998.05.11,0.294129422303,43.324704,18.0561881113,12.17346537,23.9389108526,14.560805874101026,3.41626895096
1998.05.12,0.311758923713,41.05936,19.34272277475,13.5152475433,25.1701980062,14.599946954947526,3.66085361436
1998.05.13,0.0,36.81184,15.13910884667,6.39613859724,23.8820790961,14.638512427585264,4.12704410578
1998.05.14,0.0,33.696992,18.27787129712,9.94346536504,26.6122772292,14.67648306508196,5.00264745135
1998.05.15,14.5774555336,33.413824,25.03742569745,17.7881188251,32.2867325698,14.713839389379352,6.32851697788
1998.05.16,25.7842628504,69.659328,20.2951980062,13.451980232,27.1384157804,14.750561693946299,6.26281876896
1998.05.17,0.0134725932327,62.013792,18.743465333899998,11.8284158329,25.6585148349,14.786630068359706,4.25796497725
1998.05.18,0.0,52.102911999999996,24.71539606435,18.1873267995,31.2434653292,14.822024424822596,4.57551719267
1998.05.19,1.95728809112,48.13856,24.3344058613,15.432079183,33.2367325396,14.856724526618368,4.37864243508
1998.05.20,0.0,42.192032,20.9257425837,13.3959405918,28.4555445756,14.890710018489221,4.68535084753
1998.05.21,0.0,39.077184,18.0510395919,12.4525742295,23.6495049543,14.92396045891459,3.84914138547
1998.05.22,0.000690055052095,34.829664,17.57767327,11.4751485315,23.6801980085,14.956455354252842,4.36302515238
1998.05.23,4.99957719888,31.431648,14.217871340184999,9.59970303337,18.836039647,14.988174194695768,3.9054049679
1998.05.24,12.0754176366,35.396,14.229257470299999,10.4328712803,18.0256436603,15.01909649197134,3.41600208255
