%eval_id interface log__t_efold_shallow log__t_efold_soil log__t_efold_karst f_exfiltration_shallow f_exfiltration_soil PDD_melt_factor log__routing_K neg_kge        
105      I1         1.990996676    2.462764673    4.13262006     0.7994510876   0.3355639597   0.1383557627   0.2455558882   0.7462992875   
106      I1         1.740831827    1.802122459    4.328839539    0.4563962076   0.2375262317   0.9747690129   0.4437926143   0.2451287904   
107      I1         1.186805977    2.607205399    2.612978149    0.5394486182   0.4473012554   7.283779674    -0.1727049775  1.488116228    
108      I1         0.4240566145   1.173806576    3.087118066    0.5540566055   0.5031211313   9.121403494    0.2145454582   2.365720702    
109      I1         1.911398778    1.511267464    3.859167714    0.4313628953   0.3871736439   7.789316642    -0.07079037069 0.2182393222   
110      I1         1.444278275    1.850722746    4.353231216    0.100521532    0.4931008605   3.347979457    -0.3647480428  0.291507617    
111      I1         1.618362611    2.590534515    4.095182904    0.2674938073   0.8887746462   2.171727156    0.1726123161   0.5022908056   
112      I1         1.141522265    1.686736869    4.432868669    0.3579996258   0.2751800928   8.095700615    -0.7555235705  0.2215216388   
113      I1         1.434442838    1.545416253    4.300944502    0.6578579263   0.2448017307   4.410688445    0.4609040343   1.359113787    
114      I1         0.9177023502   1.614103081    3.639907075    0.4782339761   0.8014879318   3.661604156    -0.4627312326  2.12463324     
115      I1         1.651440729    1.720055247    3.113606452    0.8583340564   0.9584592573   6.548255037    -0.9885962954  1.805541237    
116      I1         0.3177406747   2.547458364    4.237773043    0.5665403297   0.2576233267   2.571069128    0.08863335294  2.365177211    
117      I1         0.7409346075   2.381482366    4.397440051    0.4631838113   0.4967438265   1.593846828    -0.1536587703  1.790143019    
118      I1         0.7113794074   2.153882841    3.100025495    0.08532162429  0.1685791455   1.393663158    0.5649815399   0.3628008348   
119      I1         0.3351591749   1.231727704    3.491418829    0.9805095429   0.5312512202   1.57776624     -0.08354514256 2.931564962    
120      I1         0.6957140961   1.74754868     3.549718539    0.2863724592   0.279182846    5.814931171    -0.2629289409  1.042657901    
121      I1         0.8535962471   1.930591487    4.469608268    0.507708016    0.3801969768   0.7424392947   -0.3831742956  1.930036052    
122      I1         1.182398971    1.623563135    3.21120112     0.8608480364   0.03786302582  3.991173488    -0.04401493738 2.212699243    
123      I1         1.3490471      2.364682212    3.151201792    0.7502022129   0.01958054421  6.953071345    0.2294076887   1.660713478    
124      I1         1.359382799    2.50296565     3.992164059    0.7909367982   0.7594634673   1.059934205    -0.2752816318  1.89664472     
125      I1         1.578140663    1.867335465    2.628772169    0.7134540686   0.9848527638   3.697353834    -0.771005287   1.751480905    
126      I1         0.4859222711   2.673454282    4.266933182    0.6064637601   0.633732568    5.524604038    0.5729355276   1.987687798    
127      I1         0.3734655823   1.542045094    4.478762658    0.6297198519   0.9622850424   1.779648702    -0.09443691398 2.610180818    
128      I1         1.151278613    1.693992783    3.584868323    0.1681824529   0.2602711335   8.264963864    -0.01297490941 0.25586031     
129      I1         1.88843912     1.186086906    3.496524632    0.5167904168   0.1597277525   9.773474863    0.6376617467   0.3916651522   
130      I1         1.340856682    1.576814556    2.635728609    0.941346387    0.3331156004   6.104156355    0.844516786    1.801546762    
131      I1         1.953548078    1.162088808    4.196549783    0.2257529178   0.06784710513  8.861973182    -0.9362774272  0.5070010094   
132      I1         1.144801891    2.529878567    4.292586158    0.7740396554   0.4435392042   7.256774185    -0.6433116305  2.179439794    
133      I1         0.36004142     1.740200609    3.903464658    0.4223373309   0.1479898162   3.585673627    -0.947957933   2.168346796    
134      I1         1.933004722    1.780657403    3.516151248    0.5316747404   0.871363053    7.187073331    0.322057368    1.050734288    
135      I1         1.948251375    2.024418459    3.647405117    0.9698528934   0.7282635288   3.745943433    0.6084811124   1.308621346    
136      I1         1.784835303    2.044425839    3.156802105    0.5249688643   0.465508111    1.040583558    -0.5269448829  0.8372324577   
137      I1         1.764753117    1.937680794    3.617691695    0.07083899011  0.3221937678   1.28832285     0.9696194133   0.5174873351   
138      I1         1.600285292    2.27527896     4.172137493    0.1156888522   0.8435021733   8.296674237    -0.6965090103  0.3748876546   
139      I1         0.4921449078   2.480325566    4.207658737    0.2089163743   0.3909964414   6.61131203     0.3995330325   0.204190765    
