%eval_id interface log__t_efold_soil log__t_efold_karst log__t_efold_deep f_exfiltration_soil f_exfiltration_karst PDD_melt_factor log__fdd_threshold snow_insulation_k recession_b_soil recession_b_karst et_scale       f_tile_soil    log__tau_tile  neg_kge        
102      I1         1.644514978    2.606103003    4.634652322    0.9485655461   0.6994658029   7.789316642    1.611087785    0.09548019567  4.291858421    1.747522606    1.196142128    0.2747491227   0.8346985399   0.7450887728   
103      I1         1.274491319    2.528528489    4.955519155    0.4961993767   0.1065470813   5.567548951    0.4252164516   0.03802958748  2.019327078    5.763689538    0.9202812877   0.4624028839   0.0478725806   0.4811404614   
104      I1         1.117570384    3.901700714    3.880135308    0.6646589952   0.827400762    8.935380853    1.038490201    0.07574760212  5.616863051    3.640942773    1.594967644    0.5315098184   0.2523102319   0.680038658    
105      I1         1.746500615    4.405322966    4.79224147     0.6318941159   0.7659888071   7.751662791    0.5141239158   0.08268209967  5.812190226    3.830757355    1.393515479    0.8292584697   1.032758565    0.9703191103   
106      I1         2.073481817    3.46101426     3.513992575    0.588488354    0.07391524674  7.516776562    2.154961566    0.01686713527  4.894863946    4.126727736    0.6071941726   0.305880196    0.782845473    0.6563705      
107      I1         2.257081237    3.517767781    4.977206201    0.333323562    0.4387943063   9.006293536    2.65208089     0.03717963817  3.892796916    1.787935066    1.122967185    0.8956831433   0.1105326366   0.9352810426   
108      I1         2.484835303    4.125273371    3.743459489    0.9462985109   0.2682707875   1.231381987    1.278329861    0.08354062935  4.728849588    1.902626198    1.353894191    0.3919366533   1.082080022    0.8835229257   
109      I1         1.966159008    4.279106544    4.272725886    0.1134234945   0.8178788364   7.027733153    0.8105398535   0.07305031055  1.535487244    4.090948434    1.530203335    0.8374883021   0.7742575969   0.7819400376   
110      I1         1.372990647    2.540429602    4.911750047    0.4257638904   0.1413102393   1.458145766    1.116822869    0.08116993474  4.645742643    1.864457384    0.8423928741   0.7959485613   0.1488650787   1.00088745     
111      I1         2.631563387    3.325932068    3.756404799    0.1241161824   0.6796230876   0.9222992184   2.646035071    0.02473809058  1.917025644    5.0772281      0.7792234582   0.7653418156   0.0741664328   0.52021535     
112      I1         2.152181115    3.742420556    4.412908551    0.5748104646   0.3533398499   5.371052394    1.358344629    0.03870169607  5.566216052    4.251280897    1.746971453    0.9895017726   0.5788077573   0.9104294333   
